"","tow_lon","tow_lat","extra"
"122","-72.6984512473978","41.7669354622583","222"
"123","-72.6947286586786","41.7719868261143","222"
"124","-72.6911844710479","41.7724820168795","222"
"125","-72.6950098862524","41.7763202736768","222"
"126","-72.6928387477946","41.7758457785116","222"
"127","-72.7051525660352","41.7673828057653","222"
"128","-72.677329475405","41.773109634989","222"
"129","-72.7008827363291","41.7655501152199","222"
"130","-72.7073337827753","41.7336093459103","222"
"131","-72.6726194079604","41.7683147435094","222"
"132","-72.671555398344","41.7910255824203","222"
"133","-72.6754638474043","41.7712556781118","222"
"134","-72.6760878735634","41.7720338063102","222"
"135","-72.6728328862873","41.768047154929","222"
"136","-72.6915471710406","41.777395560603","222"
"137","-72.6795365088733","41.7770592126605","222"
"138","-72.6795503673832","41.7853087874204","222"
"139","-72.6756421561001","41.7466338258694","222"
