,Tow_From_Address,tow_lat,tow_lon,count
176,2505 MAIN ST,41.78848938,-72.67279933,15
177,252 LAUREL ST,41.76614368,-72.696938,15
178,26 CONGRESS ST,41.7544566,-72.67597851,15
179,37 ALDEN ST,41.7511184,-72.67600317,15
180,399 ZION ST,41.75228256,-72.69379324,15
181,416 FARMINGTON AV,41.76727486,-72.70461647,15
182,47 SUMNER ST,41.77093675,-72.69068318,15
183,820 PARK ST,41.7583184,-72.69084627,15
184,85 GILLETT ST,41.77117352,-72.6994247,15
185,ALBANY AV & HOMESTEAD AV,41.78430228,-72.70301744,15
186,GARDEN ST & MATHER ST,41.7803178,-72.68475331,15
187,100 HENDRICXSEN AV,41.7524649,-72.66350464,14
188,100 LAUREL ST,41.7621387,-72.69479934,14
189,1000 MAPLE AV,41.73180555,-72.68849049,14
190,137 EVERGREEN AV,41.76175593,-72.70865353,14
191,179 SIGOURNEY ST,41.77168585,-72.69350415,14
192,183 SIGOURNEY ST,41.77193623,-72.69345081,14
193,1997 PARK ST,41.75607623,-72.71217874,14
194,300 SUMMIT ST,41.74869751,-72.69280915,14
195,300 WETHERSFIELD AV,41.74761426,-72.67297913,14
196,42 CHARTER OAK AV,41.75946543,-72.67256746,14
197,50 WILLARD ST,41.77229478,-72.69464763,14
198,511 ZION ST,41.75520616,-72.69281161,14
199,65 SUMNER ST,41.77160323,-72.69014552,14
200,65 WESTON ST,41.78438087,-72.66518535,14
201,807 ASYLUM AV,41.76946704,-72.69147561,14
202,ALBANY AV & SCARBOROUGH ST,41.78498565,-72.70876719,14
203,ALBANY AV & WOODLAND ST,41.78216346,-72.69623099,14
204,BARBOUR ST & NELSON ST,41.78796416,-72.67880303,14
205,BOND ST & FRANKLIN AV,41.74434572,-72.67658352,14
206,BROAD ST & FARMINGTON AV,41.7681518,-72.68607784,14
207,CAPITOL AV & SISSON AV,41.76074164,-72.7065512,14
208,ELLIOTT ST & WETHERSFIELD AV,41.74644306,-72.67331672,14
209,FAIRFIELD AV & NEW BRITAIN AV,41.74169203,-72.69337356,14
210,FARMINGTON AV & SIGOURNEY ST,41.76781774,-72.69378304,14
211,10 CONGRESS ST,41.7550194,-72.67601873,13
212,1630 MAIN ST,41.77729161,-72.67381158,13
213,165 WETHERSFIELD AV,41.75123526,-72.67424933,13
214,200 COLUMBUS BLVD,41.76389075,-72.66948453,13
215,270 LAUREL ST,41.76663217,-72.69695927,13
